# Measured input FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
3.86720e+02 2.02020e-01 7.05489e-04
3.87500e+02 2.03658e-01 4.31595e-04
3.88280e+02 2.02454e-01 -9.66243e-04
3.89060e+02 1.99977e-01 1.65469e-03
3.89840e+02 1.98293e-01 -3.30717e-03
3.90630e+02 2.04166e-01 8.82381e-04
3.91410e+02 2.02571e-01 1.11540e-03
3.92190e+02 2.03303e-01 1.59356e-03
3.92970e+02 2.02406e-01 8.30612e-04
3.93750e+02 2.01523e-01 4.27058e-04
3.94530e+02 2.02184e-01 1.75853e-03
3.95310e+02 2.00888e-01 -1.01876e-03
3.96090e+02 2.03717e-01 -3.27441e-04
3.96880e+02 2.00422e-01 4.40974e-04
3.97660e+02 2.02996e-01 5.63941e-04
3.98440e+02 2.01758e-01 6.03871e-04
3.99220e+02 2.04865e-01 8.21266e-04
4.00000e+02 2.05873e-01 -7.07522e-04
4.00780e+02 2.01711e-01 1.99184e-04
4.01560e+02 2.01999e-01 3.10806e-04
4.02340e+02 2.01990e-01 1.22354e-03
4.03130e+02 2.02956e-01 2.31639e-04
4.03910e+02 2.02453e-01 5.58676e-04
4.04690e+02 2.02217e-01 -1.11067e-03
4.05470e+02 2.02246e-01 2.42680e-03
4.06250e+02 2.00490e-01 -2.57069e-05
4.07030e+02 2.01371e-01 2.75649e-04
4.07810e+02 2.01750e-01 -2.89078e-04
4.08590e+02 2.03189e-01 1.30997e-04
4.09380e+02 2.03182e-01 4.41121e-04
4.10160e+02 2.02893e-01 9.85505e-04
4.10940e+02 2.03220e-01 1.22409e-03
4.11720e+02 2.04433e-01 -5.40494e-04
4.12500e+02 2.03076e-01 3.19537e-03
4.13280e+02 2.02597e-01 5.44694e-04
4.14060e+02 2.02863e-01 1.34139e-03
4.14840e+02 2.02685e-01 1.23013e-03
4.15630e+02 2.02023e-01 -1.28646e-05
4.16410e+02 2.02884e-01 -3.25670e-07
4.17190e+02 2.01219e-01 2.10653e-04
4.17970e+02 2.02055e-01 -7.03121e-04
4.18750e+02 2.02914e-01 1.35646e-03
4.19530e+02 2.01689e-01 6.66517e-05
4.20310e+02 2.03122e-01 1.30944e-03
4.21090e+02 2.04836e-01 4.55798e-04
4.21880e+02 2.03568e-01 6.08112e-04
4.22660e+02 2.02637e-01 3.83986e-04
4.23440e+02 2.02403e-01 -1.08239e-04
4.24220e+02 2.02713e-01 9.49220e-04
4.25000e+02 2.01843e-01 1.65279e-03
4.25780e+02 2.01973e-01 7.06557e-04
4.26560e+02 2.03376e-01 -5.88111e-04
4.27340e+02 2.02422e-01 -1.52303e-04
4.28130e+02 2.01876e-01 1.47652e-03
4.28910e+02 2.02774e-01 5.07458e-04
4.29690e+02 2.02477e-01 1.97772e-03
4.30470e+02 2.03004e-01 8.07182e-04
4.31250e+02 2.04533e-01 2.29130e-04
4.32030e+02 2.01051e-01 -1.82168e-03
4.32810e+02 2.03088e-01 -6.74569e-04
4.33590e+02 2.02222e-01 -4.82216e-04
4.34380e+02 2.00643e-01 5.46061e-04
4.35160e+02 2.02252e-01 -1.29160e-03
4.35940e+02 2.02378e-01 6.31952e-04
4.36720e+02 2.02782e-01 -7.31527e-04
4.37500e+02 2.01261e-01 -1.73751e-05
4.38280e+02 2.01467e-01 1.91726e-03
4.39060e+02 2.03160e-01 9.75422e-04
4.39840e+02 2.03077e-01 -1.01567e-03
